id;youtube_url;artist;title;year
1;https://music.youtube.com/watch?v=tuK6n2Lkza0;Jet;Are You Gonna Be My Girl;2003
2;https://music.youtube.com/watch?v=UAbzlj3nf4E;The Who;The Seeker;2023
3;https://music.youtube.com/watch?v=dJ6fjGS1lRg;Talking Heads;Psycho Killer;1977
4;https://music.youtube.com/watch?v=UKQpRgxyyqo;The Beatles;In My Life;1965
5;https://music.youtube.com/watch?v=4AKbUm8GrbM;The Who;Pinball Wizard;1969
6;https://music.youtube.com/watch?v=axb2sHpGwHQ;Unknown Artist;Private video;2012
7;https://music.youtube.com/watch?v=rTusMLs9SJE;Unknown Artist;Deleted video;2013
8;https://music.youtube.com/watch?v=EzgGTTtR0kc;Metallica;One;1988
9;https://music.youtube.com/watch?v=geHLdg_VNww;Unknown Artist;Private video;2012
10;https://music.youtube.com/watch?v=xCChxBSRo1Y;Poison;Talk Dirty To Me;1986
11;https://music.youtube.com/watch?v=juhBVAnLkHk;Poison;Ride The Wind;1990
12;https://music.youtube.com/watch?v=Vppbdf-qtGU;ZZ Top;La Grange;1973
13;https://music.youtube.com/watch?v=TPE9uSFFxrI;Muse;Resistance;2009
14;https://music.youtube.com/watch?v=XFkzRNyygfk;Radiohead;Creep;1993
15;https://music.youtube.com/watch?v=ytVyzMp5KAg;Bush;The People That We Love;2001
16;https://music.youtube.com/watch?v=R5mFKeL67Dk;Oasis;I'm Outta Time;2008
17;https://music.youtube.com/watch?v=3dm_5qWWDV8;Muse;Hysteria;2003
18;https://music.youtube.com/watch?v=bBb-J0hcBQA;Unknown Artist;Deleted video;2012
19;https://music.youtube.com/watch?v=lMLnDuzgkjo;Unknown Artist;Deleted video;2012
20;https://music.youtube.com/watch?v=eL7QRy-30GM;James Blunt;High;2005
21;https://music.youtube.com/watch?v=2QTtXqDjNP4;Thin Lizzy;Killer On The Loose;1980
22;https://music.youtube.com/watch?v=TsoLb-E7oy8;W.A.S.P.;Wild Child;1985
23;https://music.youtube.com/watch?v=uWeqeQkjLto;James Blunt;1973;2007
24;https://music.youtube.com/watch?v=vx2u5uUu3DE;Bon Jovi;It's My Life;2000
25;https://music.youtube.com/watch?v=xqds0B_meys;Three Days Grace;Animal I Have Become;2006
26;https://music.youtube.com/watch?v=oqdhs1sclcA;Three Days Grace;Running Away;2006
27;https://music.youtube.com/watch?v=VZ5bS3_BCDs;Def Leppard;Photograph;1983
28;https://music.youtube.com/watch?v=zSAJ0l4OBHM;America;A Horse With No Name+Lyrics;2012
29;https://music.youtube.com/watch?v=i9iJNp3wZcI;The Automatic;Monster with lyrics**;2012
30;https://music.youtube.com/watch?v=WZ88oTITMoM;Monica Bielanko;A Walk On The Wild Side;2012
31;https://music.youtube.com/watch?v=2B4bsqYxwo0;The Stranglers;No More Heroes;1977
32;https://music.youtube.com/watch?v=iUHjDJxkcSE;stereophonics;dakota;2005
33;https://music.youtube.com/watch?v=6Ejga4kJUts;The Cranberries;Zombie;1994
34;https://music.youtube.com/watch?v=gGdGFtwCNBE;The Killers;Mr. Brightside;2004
35;https://music.youtube.com/watch?v=Y5fBdpreJiU;The Killers;Somebody Told Me;2004
36;https://music.youtube.com/watch?v=ff0oWESdmH0;The Killers;When You Were Young;2006
37;https://music.youtube.com/watch?v=NfzwM4pdyxU;Biffy Clyro;Mountains;2009
38;https://music.youtube.com/watch?v=UxUb9Yzr1sE;Biffy Clyro;Bubbles;2009
39;https://music.youtube.com/watch?v=J0N1yY937qg;Unknown Artist;Deleted video;2012
40;https://music.youtube.com/watch?v=clq01TXQR0s;frankierocks1;Johnny Cash Hurt;2012
41;https://music.youtube.com/watch?v=lL2ZwXj1tXM;Three Days Grace;Never Too Late;2006
42;https://music.youtube.com/watch?v=URblbwlpnLc;Three Days Grace;Last to Know with lyrics;2012
43;https://music.youtube.com/watch?v=lDK9QqIzhwk;Bon Jovi;Livin' On A Prayer;1986
44;https://music.youtube.com/watch?v=9LjbMVXj0F8;Unknown Artist;Deleted video;2012
45;https://music.youtube.com/watch?v=yen7UVKTWC0;Don't fear the Reaper;Blue Oyster Cult;2012
46;https://music.youtube.com/watch?v=pbgEwcwLaG4;alex091094;Cult of personality lyrics;2012
47;https://music.youtube.com/watch?v=_lK4cX5xGiQ;Tenacious D;Tribute;2001
48;https://music.youtube.com/watch?v=SHhrZgojY1Q;The Who;Won't Get Fooled Again;1971
49;https://music.youtube.com/watch?v=fi_rGnw_B9A;The Who;Who Are You;1978
50;https://music.youtube.com/watch?v=JSUIQgEVDM4;Unknown Artist;Deleted video;2012
51;https://music.youtube.com/watch?v=0J2QdDbelmY;The White Stripes;Seven Nation Army;2003
52;https://music.youtube.com/watch?v=QKntY8WkNYQ;White Stripes;Blue Orchid;2005
53;https://music.youtube.com/watch?v=qHFxncb1gRY;CBAND1T;Stairway to Heaven Led Zeppelin Lyrics;2012
54;https://music.youtube.com/watch?v=h3ADektyDhM;The Ramones;My Sharona;2012
55;https://music.youtube.com/watch?v=bkysjcs5vFU;dio;holy diver;1983
